text,category
"Allego la fattura n. 2024/0312 relativa alla fornitura di materiale informatico del mese di marzo. Si prega di procedere con il pagamento entro i termini concordati.",fattura
"In allegato trovate la nota di credito emessa a storno parziale della fattura 2024/0187. L'importo da rimborsare è di 340,00 euro.",fattura
"La presente per comunicare che la fattura n. 2024/0445 risulta ancora non saldata. Si prega di provvedere al pagamento entro 7 giorni.",fattura
"Inviamo fattura elettronica numero 2024/0089 per i servizi di consulenza erogati nel mese di febbraio, per un totale imponibile di 1.800,00 euro.",fattura
"Si trasmette fattura proforma relativa all'ordine confermato in data 10/03/2024. In attesa di conferma per procedere con la fatturazione definitiva.",fattura
"Gentile cliente, la fattura 2024/0567 emessa il 15 marzo è in scadenza il 15 aprile. Si ricorda di effettuare il bonifico alle coordinate bancarie indicate.",fattura
"Allego ricevuta di pagamento relativa alla fattura 2024/0230. Il versamento è stato effettuato in data odierna tramite bonifico bancario.",fattura
"Si comunica che la fattura 2024/0310 presenta un errore nell'aliquota IVA applicata. Si prega di emettere nota di variazione e nuova fattura corretta.",fattura
"Inviamo il riepilogo delle fatture in scadenza nel mese di aprile. Si prega di pianificare i pagamenti di conseguenza.",fattura
"La fattura n. 2024/0401 relativa ai canoni di manutenzione annuale è stata emessa oggi. Importo totale: 960,00 euro IVA inclusa.",fattura
"Allego fattura per l'acquisto di 50 licenze software come da ordine d'acquisto ODA-2024-0089. Pagamento a 30 giorni dalla data di emissione.",fattura
"Si trasmette fattura elettronica per i lavori di installazione completati in data 8 marzo. Totale fatturato: 2.450,00 euro + IVA.",fattura
"In riferimento alla vostra richiesta, si allega copia conforme della fattura 2024/0102 per eventuali necessità amministrative.",fattura
"La fattura 2024/0500 relativa alla fornitura di cancelleria è disponibile nel portale fornitori. Si prega di scaricarla e archiviarla.",fattura
"Notifica automatica: fattura 2024/0388 in scadenza domani. Importo: 715,00 euro. Coordinate bancarie in allegato.",fattura
"Si emette fattura per il servizio di trasloco aziendale eseguito il 5 marzo. L'importo totale è di 3.200,00 euro IVA esclusa.",fattura
